ticker,company_name,sector,fetched_at
786,786 Investments Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
786R,786 Investment (Right),INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
AABS,Al-Abbas Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
AAL,Agro Allianz Limited,TEXTILE SPINNING,2026-09-10
AASM,Al-Abid Silk Mills Limited,SYNTHETIC & RAYON,2026-09-10
AATM,Ali Asghar Textile Mills Limited,TEXTILE SPINNING,2026-09-10
ABL,Allied Bank Limited,COMMERCIAL BANKS,2026-09-10
ABOT,Abbott Laboratories (Pakistan) Limited,PHARMACEUTICALS,2026-09-10
ABSON,Abson Industries Limited,"PAPER, BOARD & PACKAGING",2026-09-10
ACPL,Attock Cement Pakistan Limited,CEMENT,2026-09-10
ADAMS,Adam Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
ADMM,Artistic Denim Mills Limited,TEXTILE COMPOSITE,2026-09-10
ADOS,Ados Pakistan Limited,ENGINEERING,2026-09-10
ADTM,Adil Textile Mills Limited,TEXTILE SPINNING,2026-09-10
AEL,AEL Textile Limited,,2026-09-10
AGHA,Agha Steel Ind.Ltd,ENGINEERING,2026-09-10
AGIC,Askari General Insurance Company Limited,INSURANCE,2026-09-10
AGICR2,Askari General Insurance Co.Ltd.(Right),INSURANCE,2026-09-10
AGIL,Agriauto Industries Limited,AUTOMOBILE PARTS & ACCESSORIES,2026-09-10
AGL,Agritech Limited,FERTILIZER,2026-09-10
AGLNCPS,Agritech Non-Voting (Pref) Class A,FERTILIZER,2026-09-10
AGP,AGP Limited,PHARMACEUTICALS,2026-09-10
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
AGTL,Al-Ghazi Tractors Limited,AUTOMOBILE ASSEMBLER,2026-09-10
AHCL,Arif Habib Corporation Limited,FERTILIZER,2026-09-10
AHL,Arif Habib Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
AHTM,Ahmad Hassan Textile Mills Limited,TEXTILE COMPOSITE,2026-09-10
AICL,Adamjee Insurance Company Limited,INSURANCE,2026-09-10
AIRLINK,Air Link Communication Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
AKBL,Askari Bank Limited,COMMERCIAL BANKS,2026-09-10
AKDCL,AKD Capital Limited,,2026-09-10
AKDHL,AKD Hospitality Limited,MISCELLANEOUS,2026-09-10
AKDSL,AKD Securities Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
AKGL,Al-Khair Gadoon Limited,MISCELLANEOUS,2026-09-10
AKZO,Akzo Nobel Pakistan Limited,,2026-09-10
ALAC,Askari Life Assurance Company Limited,INSURANCE,2026-09-10
ALIFE,Adamjee Life Assurance Company Limited,INSURANCE,2026-09-10
ALNRS,Al-Noor Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
ALQT,Al-Qadir Textile Mills Limited,TEXTILE SPINNING,2026-09-10
ALTN,Altern Energy Limited,POWER GENERATION & DISTRIBUTION,2026-09-10
AMBL,Apna Microfinance Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
AMSL,Al-Mal Securities & Services Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
AMTEX,Amtex Limited,TEXTILE SPINNING,2026-09-10
ANL,Azgard Nine Limited,TEXTILE COMPOSITE,2026-09-10
ANNT,Annoor Textile Mills Limited,TEXTILE SPINNING,2026-09-10
ANSM,Ansari Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
ANTM,AN Textile Mills Limited,TEXTILE COMPOSITE,2026-09-10
APL,Attock Petroleum Limited,OIL & GAS MARKETING COMPANIES,2026-09-10
APOT,Apollo Textile Mills Limited,TEXTILE SPINNING,2026-09-10
AQTM,Al-Qaim Textile Mills Limited,TEXTILE SPINNING,2026-09-10
ARCTM,Arctic Textile Mills Limited,TEXTILE SPINNING,2026-09-10
ARM,Allied Rental Modaraba,,2026-09-10
ARMG,ARM Green Industries Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
ARPAK,Arpak International Investments Ltd.,MISCELLANEOUS,2026-09-10
ARPL,Archroma Pakistan Limited,CHEMICAL,2026-09-10
ARUJ,Aruj Industries Limited,TEXTILE COMPOSITE,2026-09-10
ASC,Al Shaheer Corporation Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
ASCR1,AL-Shaheer (R),,2026-09-10
ASHT,Ashfaq Textile Mills Limited,TEXTILE WEAVING,2026-09-10
ASIC,Asia Insurance Company Limited,INSURANCE,2026-09-10
ASL,Aisha Steel Mills Limited,ENGINEERING,2026-09-10
ASLCPS,Aisha Steel Convt (Pref) Right,ENGINEERING,2026-09-10
ASLPS,Aisha Steel Convertible (Pref),ENGINEERING,2026-09-10
ASRL,Associated Services Limited,JUTE,2026-09-10
ASTL,Amreli Steels Limited,ENGINEERING,2026-09-10
ASTM,Asim Textile Mills Limited,TEXTILE SPINNING,2026-09-10
ATBA,Atlas Battery Limited,AUTOMOBILE PARTS & ACCESSORIES,2026-09-10
ATIL,Atlas Insurance Limited,INSURANCE,2026-09-10
ATLH,Atlas Honda Limited,AUTOMOBILE ASSEMBLER,2026-09-10
ATRL,Attock Refinery Limited,REFINERY,2026-09-10
AVN,Avanceon Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
AWTX,Allawasaya Tex. & Finishing Mills Ltd,TEXTILE SPINNING,2026-09-10
AWWAL,Awwal Modaraba,,2026-09-10
AYTM,Ayesha Textile Mills Limited,,2026-09-10
AYZT,Ayaz Textile Mills Limited,TEXTILE WEAVING,2026-09-10
AZMT,Azmat Textile Mills Limited,TEXTILE SPINNING,2026-09-10
AZTM,Al-Azhar Textile Mills Limited,TEXTILE SPINNING,2026-09-10
BAFL,Bank Alfalah Limited,COMMERCIAL BANKS,2026-09-10
BAFS,Baba Farid Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
BAHL,Bank AL Habib Limited,COMMERCIAL BANKS,2026-09-10
BAPL,Bawany Air Products Limited,CHEMICAL,2026-09-10
BATA,Bata Pakistan Limited,LEATHER & TANNERIES,2026-09-10
BBFL,Big Bird Foods Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
BCL,Bolan Castings Limited,ENGINEERING,2026-09-10
BCML,Babri Cotton Mills Limited,TEXTILE SPINNING,2026-09-10
