ticker,window_idx,train_start,train_end,test_start,test_end,mae,rmse,mape,directional_accuracy,naive_mae,naive_rmse,naive_mape,naive_directional_accuracy
ABL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,18.72607693193359,21.794122368178915,11.300201441732701,38.983050847457626,3.208614026085805,4.66554163062584,2.0781430965519014,5.084745762711865
ABOT,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,110.98540913249369,131.4198067528284,10.446648873687735,42.3728813559322,10.384762521517478,15.87910599890593,1.0248036453977696,5.084745762711865
AGP,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,14.851129218662287,16.999323105107756,7.674093379814291,42.3728813559322,2.5589126328290526,3.722721959922909,1.3616757143251532,5.084745762711865
AICL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,12.727890609772869,15.71366676744725,19.85438866871329,49.152542372881356,1.1893418522204389,1.877300740502087,1.9712451566772422,6.779661016949152
AIRLINK,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,7.124830297484412,9.155165410504665,4.891185863403951,59.32203389830508,2.4691987118478544,3.879868793982833,1.7287312313044274,5.084745762711865
AKBL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,24.293329497959498,29.601035192717557,39.21853507011897,40.67796610169492,0.9584706193309719,1.39871275839302,1.7316353588647662,5.084745762711865
APL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,7.0273052633439805,8.706347846924386,1.496816753023038,47.45762711864407,4.729442014532573,6.961360415789174,1.0040064060389826,5.084745762711865
ATLH,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,46.92185460071923,55.151058016328065,4.381994357010853,55.932203389830505,13.51112701933263,20.547869550975808,1.2918452995489795,5.084745762711865
ATRL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,28.74450234997079,31.673871160294095,4.359637343452719,38.983050847457626,8.137234962592682,12.624528568142628,1.2328402252138115,5.084745762711865
BAFL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,3.533691075822013,4.633677398138046,4.178281268386178,40.67796610169492,1.1087094323109776,1.5189711337592557,1.3821393971751796,5.084745762711865
BAHL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,13.078832472228715,16.089868087634045,7.891689072645633,47.45762711864407,2.916247093071371,4.093333152904604,1.8125588215158757,5.084745762711865
BOP,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,3.1286368532738837,3.7610270586249492,26.29295304086891,57.6271186440678,0.14906936580851946,0.23043685183277596,1.3505846416364875,5.084745762711865
BWCL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,290.11307697661135,351.6421806886038,64.42110195284326,61.016949152542374,3.838940119339246,7.001236235259992,0.8676281913104769,5.084745762711865
CHCC,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,11.418889444011292,14.423391259863005,3.854598821272954,47.45762711864407,4.474113335043692,6.436505036722249,1.5254625013120522,5.084745762711865
CNERGY,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,0.10762014255495413,0.14816323162209297,1.5116038795898048,47.45762711864407,0.09338981014187055,0.1441338435378463,1.302505371110268,11.864406779661017
COLG,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,50.86304606855857,57.83949772805821,4.034480399090414,55.932203389830505,5.940973831435393,11.360996058332331,0.4690547860396933,5.084745762711865
DCR,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,0.29285302241236694,0.4426642626242499,1.1075752026674304,54.23728813559322,0.17711477764582273,0.37338340520264607,0.6408211052855077,8.47457627118644
DGKC,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,3.401477208334483,4.207369029418651,2.019359194667688,49.152542372881356,2.471759084927834,3.6975116671569954,1.4890095302130244,5.084745762711865
EFERT,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,7.800506408974191,9.13562653903722,4.111541357168926,42.3728813559322,2.4822423902608617,3.4060277201719438,1.3189019892306633,5.084745762711865
EPCL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,9.664038038235814,11.783091442199236,31.012654867313298,49.152542372881356,0.352881641711219,0.5098257665425416,1.1321179381200792,5.084745762711865
