ticker,window_idx,train_start,train_end,test_start,test_end,mae,rmse,mape,directional_accuracy,naive_mae,naive_rmse,naive_mape,naive_directional_accuracy
ATRL,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.02974426233622689,0.034704766543839694,254383767782.25522,40.0,0.011706272702924542,0.019062143336741322,0.9833333333333333,1.6666666666666667
BAHL,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.08558392518927092,0.09548251878438177,631148094461.7677,50.0,0.018374474634509207,0.024689607216140018,0.9833333333333333,1.6666666666666667
BOP,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.30169947799252256,0.33655819184032315,1062443612441.742,58.333333333333336,0.01899715170503792,0.02984273588670659,0.9833333333333333,1.6666666666666667
CHCC,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.04372015935566304,0.0508358095376145,1955726069249.2922,53.333333333333336,0.0154021636466441,0.021912382100561442,0.9833333333333333,1.6666666666666667
DGKC,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.02479872222509769,0.03213705162659227,141566546078.195,60.0,0.01805145564379617,0.02915070686876533,0.9833333333333333,1.6666666666666667
EFERT,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.03624617780639019,0.04058016510583242,137214348316.7952,45.0,0.0134183425570565,0.018100015784582858,0.9833333333333333,1.6666666666666667
EPCL,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.3370527844975855,0.3735387629659872,88427991810.98479,46.666666666666664,0.013914442338867591,0.021916511755932042,0.9833333333333333,1.6666666666666667
FCCL,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.2899883215128345,0.31556072613013497,687266661569.4215,50.0,0.016390339427828596,0.027320128356568583,0.9833333333333333,1.6666666666666667
FFC,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.047047388994043406,0.05374740815796803,68128725544.54766,51.66666666666667,0.010179332476635277,0.0148689895813389,0.9833333333333333,1.6666666666666667
HBL,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.04834136941716357,0.059637323289465125,84207609804.03223,60.0,0.020366466701674142,0.02774894593287957,0.9833333333333333,1.6666666666666667
LOTCHEM,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,5.749789464754996,6.361143286188033,1072004928260.8931,46.666666666666664,0.009068786186349542,0.013169812216443772,0.9833333333333333,1.6666666666666667
LUCK,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,1.5523356470723797,1.8272438007229044,5468635707377.288,45.0,0.01454552918907567,0.021445164778460212,0.9833333333333333,1.6666666666666667
MARI,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.077477821631327,0.08391667345145198,473441877719.9146,55.00000000000001,0.010178695089733299,0.016007243602302563,0.9833333333333333,1.6666666666666667
MCB,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.047176751040523664,0.05196772627042341,197931801854.8718,46.666666666666664,0.012614608432168875,0.018913190304674008,0.9833333333333333,1.6666666666666667
MEBL,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.09056850824302558,0.10639028022789862,2713773603622.9673,58.333333333333336,0.012223269166227988,0.017091220338993195,0.9833333333333333,1.6666666666666667
MLCF,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.1528110075329878,0.16611184461260564,640974009772.9191,55.00000000000001,0.016060095722010805,0.023617736145024867,0.9833333333333333,1.6666666666666667
