ticker,window_idx,train_start,train_end,test_start,test_end,mae,rmse,mape,directional_accuracy,naive_mae,naive_rmse,naive_mape,naive_directional_accuracy
ABL,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,72337845.1470345,87082022.1376047,43017185.84159131,52.54237288135594,3.098063323457362,4.5544744343839065,1.9858041498572663,5.084745762711865
ABOT,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,375219.7415697492,450643.21061079553,35184.865334481576,50.847457627118644,11.000366210937498,16.80192963220485,1.0795953210554856,5.084745762711865
AGP,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,78576.68483239684,94316.90847512147,40523.963929316065,52.54237288135594,2.7867651470636923,4.12316162857907,1.4865242213188297,5.084745762711865
AICL,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,2017955.653117538,2429636.5075582815,3139324.573705758,45.76271186440678,1.2025442608332235,1.881438084840795,1.9882775113595499,6.779661016949152
AIRLINK,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,2.2527373212227992,3.62909146820276,1.591605701065471,69.49152542372882,2.4680594751390355,3.879066900579659,1.7295443605936576,5.084745762711865
AKBL,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,317387579.23601055,382501607.9912469,512177912.70825994,50.847457627118644,0.9181314888647047,1.351594164364771,1.6380656895242978,5.084745762711865
APL,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,8.790798129812925,10.558450886105257,1.832324993376232,54.23728813559322,4.7584083686440675,6.9706458494867904,1.009562246063161,5.084745762711865
ASTL,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,0.4324658102759204,0.5360293356222393,1.9205558960615612,38.983050847457626,0.35745762970487915,0.511211706473732,1.5762174548166332,8.47457627118644
ATLH,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,6302199.08382244,7577513.139358157,578617.9815947667,42.3728813559322,13.409341068591106,20.52870350317006,1.2818085009955702,5.084745762711865
ATRL,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,10.280348882215543,14.864040750462133,1.5490833027422939,57.6271186440678,8.086084398172662,12.593440054103743,1.2258272662845615,5.084745762711865
BAFL,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,6733674.445159063,8096864.004323767,7915875.316043069,38.983050847457626,1.0775059845487955,1.489682241403978,1.3347788046849656,5.084745762711865
BAHL,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,9208727.363358583,11077682.558453107,5593736.328374483,44.06779661016949,2.848441948324946,4.049253987289148,1.762722239198878,5.084745762711865
BOP,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,109293574.19275811,131569897.8965067,906606047.8326328,38.983050847457626,0.15195946774240285,0.2343986041714511,1.3611483534338582,5.084745762711865
BWCL,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,31353004.731409695,37844250.52620025,6900330.84948911,61.016949152542374,3.9658611750198602,7.069948763169773,0.891313834765178,5.084745762711865
CHCC,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,338208.27888622554,406376.98510910117,113757.9402854144,54.23728813559322,4.332524703720864,6.268626697821006,1.4701886937057742,5.084745762711865
CNERGY,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,0.1481019302755754,0.17968291937947684,2.0898723447756105,40.67796610169492,0.09389828019222972,0.14464446463034777,1.3135177605812296,11.864406779661017
COLG,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,3452410.379302804,4141782.5864888555,274064.47333820694,55.932203389830505,5.9456683659957745,11.363791549023418,0.469709644535109,5.084745762711865
DCR,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,0.4632918660071494,0.7507253721164835,1.6359208762834934,44.06779661016949,0.17859012797727458,0.37388422081156886,0.6447038920034353,8.47457627118644
DGKC,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,2.519469397871603,3.6505356891504146,1.5118452025721973,50.847457627118644,2.523537845934851,3.72463607717698,1.516467007720646,5.084745762711865
EFERT,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,3617702.6077704504,4344687.075842234,1878315.08639261,52.54237288135594,2.482396788516291,3.4060490862001034,1.318544862551464,5.084745762711865
EPCL,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,155788.6446841831,187299.7727880531,505548.14288240595,47.45762711864407,0.3764409857281184,0.5547502111418375,1.2120877595727748,5.084745762711865
FABL,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,78941173.02505684,94749421.82498126,107664694.56855215,45.76271186440678,1.007591700149794,1.6767715243316754,1.453776983639621,6.779661016949152
FATIMA,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,3942576.2184593095,4751184.213353279,3612735.390848589,52.54237288135594,1.6063792341846523,2.291929249444145,1.5841565481906197,5.084745762711865
FCCL,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,19738.39260008071,23707.33691970236,42079.79179045476,47.45762711864407,0.6354921631893873,1.0394808741711294,1.3858440326508443,5.084745762711865
FFC,0,2022-07-12,2025-06-03,2025-06-04,2025-08-26,24460601.000744488,29387284.169633806,6087786.20105964,49.152542372881356,3.890901727191473,5.705007069361717,1.0046002049583416,5.084745762711865
