ticker,window_idx,train_start,train_end,test_start,test_end,mae,rmse,mape,directional_accuracy,naive_mae,naive_rmse,naive_mape,naive_directional_accuracy
ATRL,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.012362525289176942,0.02117963660308513,326802569246.1981,50.0,0.011706272702924542,0.019062143336741322,0.9833333333333333,1.6666666666666667
BAHL,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.021095029595240546,0.02644470444821624,171941129204.80615,60.0,0.018374474634509207,0.024689607216140018,0.9833333333333333,1.6666666666666667
BOP,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.019582839991689846,0.030354244309565022,294701350817.8174,46.666666666666664,0.01899715170503792,0.02984273588670659,0.9833333333333333,1.6666666666666667
CHCC,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.02786999338172188,0.034054116610256535,1106146075234.6533,38.333333333333336,0.0154021636466441,0.021912382100561442,0.9833333333333333,1.6666666666666667
DGKC,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.01781159905172357,0.02809947481580162,329451328301.8849,60.0,0.01805145564379617,0.02915070686876533,0.9833333333333333,1.6666666666666667
EFERT,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.012994987775944242,0.017862203285318384,259214146627.14648,55.00000000000001,0.0134183425570565,0.018100015784582858,0.9833333333333333,1.6666666666666667
EPCL,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.020678098568521326,0.028244238741854027,476104264588.6507,61.66666666666667,0.013914442338867591,0.021916511755932042,0.9833333333333333,1.6666666666666667
FCCL,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.016791539708651153,0.02739660067201885,42324607245.17097,50.0,0.016390339427828596,0.027320128356568583,0.9833333333333333,1.6666666666666667
FFC,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.010489477165108164,0.01576412387533086,89992814923.10017,46.666666666666664,0.010179332476635277,0.0148689895813389,0.9833333333333333,1.6666666666666667
HBL,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.02065513881165975,0.028710569098261342,374970805786.78674,51.66666666666667,0.020366466701674142,0.02774894593287957,0.9833333333333333,1.6666666666666667
LOTCHEM,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.015835876823047622,0.01924566265751959,520330446867.74585,48.333333333333336,0.009068786186349542,0.013169812216443772,0.9833333333333333,1.6666666666666667
LUCK,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.03752069571845327,0.07157239864567808,26539099885.33748,60.0,0.01454552918907567,0.021445164778460212,0.9833333333333333,1.6666666666666667
MARI,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.012349997637133065,0.019604146222599893,252360802288.74615,53.333333333333336,0.010178695089733299,0.016007243602302563,0.9833333333333333,1.6666666666666667
MCB,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.014022951158810809,0.0218819387832046,210352219461.57867,43.333333333333336,0.012614608432168875,0.018913190304674008,0.9833333333333333,1.6666666666666667
MEBL,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.020170317613521373,0.023640182723929874,721459497706.9015,53.333333333333336,0.012223269166227988,0.017091220338993195,0.9833333333333333,1.6666666666666667
MLCF,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.022368978903718854,0.028657725953081713,35074133740.80958,51.66666666666667,0.016060095722010805,0.023617736145024867,0.9833333333333333,1.6666666666666667
MTL,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.008966446317383914,0.01367630581259948,341875251169.30237,53.333333333333336,0.008060581879591282,0.012731385376775832,0.9833333333333333,1.6666666666666667
NBP,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.019596774685484448,0.027448196976489533,118804108144.57399,55.00000000000001,0.018766630092578982,0.028118868131566443,0.9833333333333333,1.6666666666666667
NRL,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.030557023253364506,0.044381285827859995,445695933055.7072,45.0,0.02442962449720054,0.03697401996018994,0.9833333333333333,1.6666666666666667
OGDC,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.015451518778254375,0.023429520574631924,388045265031.56213,46.666666666666664,0.012477637889183487,0.020255682831873612,0.9833333333333333,1.6666666666666667
POL,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.010292619972362398,0.015413508053552665,263272180091.125,48.333333333333336,0.0068681133215985945,0.01274521931309067,0.9833333333333333,1.6666666666666667
PPL,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.015419733762987598,0.023802195727420684,562631612829.6515,60.0,0.013800071706988262,0.021924904882132824,0.9833333333333333,1.6666666666666667
PRL,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.022117575639418286,0.030633362659783364,741135030705.7423,43.333333333333336,0.014656417856733762,0.023337695842396873,0.9666666666666667,3.3333333333333335
PSO,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.01458224771990218,0.020175272330709093,365389473301.7498,45.0,0.011957368840757128,0.017474755482521365,0.9833333333333333,1.6666666666666667
SYS,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.2691247561959364,0.4021972753313125,1727675764732.4524,50.0,0.016505760146386956,0.022784705879102373,0.9833333333333333,1.6666666666666667
TRG,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.020300115783495144,0.030104550539679593,88575919700.1107,46.666666666666664,0.018516756618905957,0.02951949649998111,0.9833333333333333,1.6666666666666667
UBL,0,2022-07-11,2025-06-12,2025-06-13,2025-09-05,0.14205834617836258,0.2165957801449216,1683211364114.3171,66.66666666666666,0.04405257816601918,0.16024433837058616,0.9833333333333333,1.6666666666666667
ATRL,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.015449135522243097,0.02109446851385856,2357306211716.1123,60.0,0.01447920142213131,0.020100248056498942,0.9666666666666667,3.3333333333333335
BAHL,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.022625480613211926,0.028792014496393046,618954184719.7306,46.666666666666664,0.013906255516378373,0.023548152510675453,0.9666666666666667,3.3333333333333335
BOP,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.029334540231195562,0.03900640890034483,750640500706.4674,53.333333333333336,0.029373351354141333,0.04232556179813608,0.9666666666666667,3.3333333333333335
CHCC,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.01771744330480056,0.021958259732984566,794996967856.5382,48.333333333333336,0.01409822531915911,0.020509845179864705,0.9666666666666667,3.3333333333333335
DGKC,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.04840071644733053,0.05380062424393531,9940955151016.363,33.33333333333333,0.01556865148635797,0.022253754067023575,0.95,5.0
EFERT,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.012748168110336744,0.0174589624189244,190634730471.15094,45.0,0.011693088834380071,0.01669673373971447,0.9666666666666667,3.3333333333333335
EPCL,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.01383495747649443,0.01847484471436066,2240454388593.459,51.66666666666667,0.012489328985982241,0.01643462898813425,0.95,5.0
FCCL,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.025547466356603734,0.03247856815203141,524156599602.1183,40.0,0.016522825468769358,0.023335610696493658,0.9666666666666667,3.3333333333333335
FFC,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.01287544025030701,0.017495318905745773,974775553906.8982,41.66666666666667,0.012081548098656348,0.016984939653649885,0.9666666666666667,3.3333333333333335
HBL,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.01740447048257945,0.022618017304648845,757364639231.9445,48.333333333333336,0.015352498102312708,0.021087021057613845,0.9666666666666667,3.3333333333333335
LOTCHEM,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.020858583069577424,0.030040340824646596,216385734999.6729,50.0,0.0206615260194422,0.03059710501483281,0.9666666666666667,3.3333333333333335
LUCK,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.023174158979619955,0.029439055003138207,1380017019417.5532,43.333333333333336,0.013746666062827751,0.020027509172395604,0.9666666666666667,3.3333333333333335
MARI,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.014208485962993315,0.019649981022028005,956147034786.6146,60.0,0.014430182977794371,0.018778163952333556,0.9666666666666667,3.3333333333333335
MCB,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.010816808844593517,0.01340975928475247,407021384175.1179,56.666666666666664,0.010246446517759852,0.013659441799398675,0.9666666666666667,3.3333333333333335
MEBL,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.031664786712229914,0.040131914711038295,1236551255740.9414,48.333333333333336,0.015513266765438868,0.022459889195638946,0.9666666666666667,3.3333333333333335
MLCF,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.02503287695180926,0.03187600837652887,2941253294669.172,41.66666666666667,0.018602332347693255,0.025794158406819135,0.95,5.0
MTL,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.009651634845961028,0.013284848034377105,771748323977.4022,46.666666666666664,0.00861955965029053,0.011604329353855263,0.9666666666666667,3.3333333333333335
NBP,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.033081434679004235,0.038641850739386696,4379645825513.756,43.333333333333336,0.016624200032115115,0.022060294576661248,0.9666666666666667,3.3333333333333335
NRL,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.04844274950505354,0.05487460128921889,5918858479631.042,43.333333333333336,0.027293216296179038,0.038085991513560666,0.9666666666666667,3.3333333333333335
OGDC,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.011489289093881012,0.015158178423366796,259973424861.32626,56.666666666666664,0.01231762533127337,0.015569506071877444,0.9666666666666667,3.3333333333333335
POL,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.00941616249314075,0.01263473569349043,134083652452.20534,50.0,0.009552548532864087,0.01277283229897437,0.9666666666666667,3.3333333333333335
PPL,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.018413671569365728,0.022582214807146474,2699412347525.745,41.66666666666667,0.01541823135005341,0.019418504583550062,0.9666666666666667,3.3333333333333335
PRL,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.022489364161810223,0.03040988513009846,1515257543458.2227,56.666666666666664,0.022887309324797486,0.029622782504618972,0.9666666666666667,3.3333333333333335
PSO,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.01346697114317777,0.018146401552042533,297086206517.39575,45.0,0.01298454343974298,0.018055347433787335,0.9666666666666667,3.3333333333333335
SYS,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.027649004412152924,0.03754712495952047,3444068167028.248,41.66666666666667,0.015694191875297105,0.02308167267565331,0.9666666666666667,3.3333333333333335
TRG,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.0249422032341999,0.03723827795645758,1456377097276.193,51.66666666666667,0.02222450769844181,0.03339765970192301,0.9666666666666667,3.3333333333333335
UBL,1,2022-10-03,2025-09-07,2025-09-08,2025-11-28,0.021187815632855826,0.03165461146590244,10427716086486.121,41.66666666666667,0.011511890836208783,0.017200448842128208,0.9666666666666667,3.3333333333333335
ATRL,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.019229826646956442,0.02662920345045917,82257492749.77507,55.00000000000001,0.01739917445216175,0.025230965317613294,0.9833333333333333,1.6666666666666667
BAHL,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.012335235003837403,0.017596635277315045,1670244953467.2297,48.333333333333336,0.010295747550183358,0.015398830687354263,0.9666666666666667,3.3333333333333335
BOP,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.020129769754443392,0.03096213231750806,737640004195.032,55.00000000000001,0.02058729836923362,0.02943289298140392,0.9833333333333333,1.6666666666666667
CHCC,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.01970213279391916,0.025980421594450298,255184116250.815,46.666666666666664,0.016496163089251045,0.021092807381829646,0.9833333333333333,1.6666666666666667
DGKC,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.014603320578344119,0.01944497203812966,241919483172.4922,55.00000000000001,0.01349750388105112,0.018170684420660606,0.9833333333333333,1.6666666666666667
EFERT,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.013148691834952892,0.018897389545634243,356459438192.5626,50.0,0.012316812563965373,0.018244082943291506,0.9833333333333333,1.6666666666666667
EPCL,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.023493706563443177,0.0350905532509231,190325552679.12442,56.666666666666664,0.023621049397643406,0.034141405723124046,0.9666666666666667,3.3333333333333335
FCCL,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.015749633703104095,0.020548701268459403,59758226782.35526,50.0,0.013516539474623715,0.018196169821924072,0.9833333333333333,1.6666666666666667
FFC,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.02200365359532465,0.028646104890566598,849676260868.1375,40.0,0.012776352848003393,0.02130516749038853,0.9833333333333333,1.6666666666666667
HBL,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.015501363998025663,0.022625539905376583,139654639401.96658,43.333333333333336,0.013378675020767035,0.02089747136161063,0.9833333333333333,1.6666666666666667
LOTCHEM,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.020200635027946168,0.029442589587249008,227528087369.58084,46.666666666666664,0.017882196513835283,0.025956399197448483,0.9833333333333333,1.6666666666666667
LUCK,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.016828059699560482,0.02177154142895665,982560840874.8325,50.0,0.015798390446231818,0.02029545590920903,0.9833333333333333,1.6666666666666667
MARI,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.011587501717087991,0.016376418371135366,406200119488.02386,36.666666666666664,0.007623610719136204,0.011657848096107024,0.9833333333333333,1.6666666666666667
MCB,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.013385741642019583,0.019926880972548418,111390128476.2031,51.66666666666667,0.012907959619393401,0.019092594623557568,0.9833333333333333,1.6666666666666667
MEBL,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.018632585987658205,0.022927861533474207,2134679897844.894,56.666666666666664,0.01363481536772377,0.01846443481804763,0.9833333333333333,1.6666666666666667
MLCF,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.023164828222367064,0.0323574640930786,108067978736.06055,48.333333333333336,0.021573439432091116,0.030148788672132408,0.9833333333333333,1.6666666666666667
MTL,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.008986804614544526,0.013383479090000061,263901913647.90225,53.333333333333336,0.009429461179400363,0.013260358571609043,0.9833333333333333,1.6666666666666667
NBP,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.01805129128076406,0.02477655205124132,735948021684.3798,50.0,0.016918562699823992,0.02457288614082063,0.9833333333333333,1.6666666666666667
NRL,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.025051968119075806,0.03508663682088371,185550164903.75827,46.666666666666664,0.021073008197913533,0.02968906023583383,0.9833333333333333,1.6666666666666667
OGDC,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.015256480496354282,0.020743710668966065,359708923040.204,45.0,0.013665692776945789,0.018688399191897825,0.9833333333333333,1.6666666666666667
POL,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.010067826278695477,0.014598597238607222,1236518554375.3364,63.33333333333333,0.007996130745169099,0.013282922017319964,0.9833333333333333,1.6666666666666667
PPL,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.020057643385497394,0.026232252057293088,16121885107.206089,46.666666666666664,0.017330315395713166,0.022039316698413698,0.9833333333333333,1.6666666666666667
PRL,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.017072787268345227,0.023792361800803907,31985398418.915867,65.0,0.01749225659483344,0.02383070418738501,0.9833333333333333,1.6666666666666667
PSO,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.017009832860503272,0.026046445967462056,281554128973.7049,46.666666666666664,0.013294526316894895,0.018233244519648795,0.9833333333333333,1.6666666666666667
SYS,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.025598486860824308,0.07060356427060138,74.08300035941116,48.333333333333336,0.015428834783480073,0.019749950723296918,1.0,0.0
TRG,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.028631592204419177,0.045563411819846966,773823695070.9213,38.333333333333336,0.020610553808832973,0.03069190241897178,0.9833333333333333,1.6666666666666667
UBL,2,2022-12-26,2025-11-30,2025-12-01,2026-02-24,0.016969626143795893,0.02987066377783477,393239335502.6202,50.0,0.014508094186463495,0.022075755318365253,0.9833333333333333,1.6666666666666667
ATRL,3,2023-03-20,2026-02-24,2026-02-25,2026-05-20,0.02468211888041484,0.03318871322203643,2921547051023.5674,46.666666666666664,0.021843947440747073,0.03170116171147437,0.9166666666666666,8.333333333333332
BAHL,3,2023-03-20,2026-02-24,2026-02-25,2026-05-20,0.0195463233556614,0.028122987509103494,1374086923648.7378,46.666666666666664,0.018972022285491226,0.02765675817396714,0.9333333333333333,6.666666666666667
BOP,3,2023-03-20,2026-02-24,2026-02-25,2026-05-20,0.036065468672614696,0.04894861859226967,3263912186922.3057,50.0,0.03309523427555862,0.04479257934171481,0.95,5.0
CHCC,3,2023-03-20,2026-02-24,2026-02-25,2026-05-20,0.03170159199795344,0.04334879848311664,504298904208.1037,53.333333333333336,0.02958820393035022,0.04114646458570134,0.95,5.0
