Config,Ticker,MAE,RMSE,MAPE,Directional Accuracy (%)
Baseline (Original),FFC,7.285935540359665,11.258917075790082,1.3653418084115643,50.602409638554214
Baseline (Original),LUCK,7.860190539103913,10.637759951667832,1.807097692292854,53.81526104417671
Baseline (Original),MEBL,7.256836821597261,10.301181073131549,1.5454401032314862,52.208835341365464
Baseline (Original),NBP,4.524802638423969,6.796791892094708,2.1705628235420407,55.42168674698795
Baseline (Original),OGDC,4.122554744721416,5.729294171406982,1.417772461554348,55.82329317269076
Baseline (Original),PSO,6.15868605523464,8.814020259676655,1.537121738994933,53.01204819277109
Baseline - Close - Raw OBV,FFC,7.2732465440776926,11.35283613274799,1.3626394002822335,50.20080321285141
Baseline - Close - Raw OBV,LUCK,7.910756134690052,10.650463396266625,1.8208379288951648,53.41365461847389
Baseline - Close - Raw OBV,MEBL,7.242769297732404,10.31537267968194,1.5432341934144398,52.610441767068274
Baseline - Close - Raw OBV,NBP,4.4163881732924395,6.750537808590986,2.110991680444178,57.42971887550201
Baseline - Close - Raw OBV,OGDC,4.071015521924659,5.808016994911446,1.3982420532476214,56.22489959839358
Baseline - Close - Raw OBV,PSO,6.037986111128667,8.609351765700428,1.5010218152423496,55.82329317269076
Full Patched,FFC,7.2585064577984495,11.377753113054373,1.3575439074736768,52.610441767068274
Full Patched,LUCK,8.025253710021458,10.838834318948164,1.8494748387503368,53.01204819277109
Full Patched,MEBL,7.324305802894882,10.382702099318001,1.5608684184426858,51.00401606425703
Full Patched,NBP,4.472392015050213,6.79944625873055,2.1360601022655,55.020080321285135
Full Patched,OGDC,4.112483513099125,5.774540269614304,1.412236986683024,57.42971887550201
Full Patched,PSO,5.916148340000689,8.47910738260861,1.4713621678735223,56.62650602409639
Naive Persistence,FFC,7.025381526104417,11.465517465995688,1.3169857316064917,0.4016064257028112
Naive Persistence,LUCK,7.929196787148591,10.785478132851452,1.8266756280722676,0.0
Naive Persistence,MEBL,7.2484337349397565,10.366997605740519,1.5454933325377598,0.0
Naive Persistence,NBP,4.452369477911647,6.728639025280677,2.13098359614263,0.0
Naive Persistence,OGDC,4.169277108433735,5.849719761248445,1.4339718659727285,0.0
Naive Persistence,PSO,5.939638554216869,8.51314289836792,1.4748670035142215,0.0
