ticker,window_idx,train_start,train_end,test_start,test_end,mae,rmse,mape,directional_accuracy,naive_mae,naive_rmse,naive_mape,naive_directional_accuracy
ABL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,18.722772949200557,21.79047803421904,11.298139438832619,38.983050847457626,3.208614026085805,4.66554163062584,2.0781430965519014,5.084745762711865
ABOT,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,110.98899650341353,131.42333674775722,10.446983634163816,42.3728813559322,10.384762521517478,15.87910599890593,1.0248036453977696,5.084745762711865
AGP,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,14.498570416310239,16.57648610229034,7.493121905899051,42.3728813559322,2.5589126328290526,3.722721959922909,1.3616757143251532,5.084745762711865
AICL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,12.719656709923841,15.686730086000992,19.84016710577174,49.152542372881356,1.1893418522204389,1.877300740502087,1.9712451566772422,6.779661016949152
AIRLINK,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,7.23419175555035,9.210292596521704,4.970090397089702,59.32203389830508,2.4691987118478544,3.879868793982833,1.7287312313044274,5.084745762711865
AKBL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,24.247159241608628,29.541553142443323,39.146180820609416,40.67796610169492,0.9584706193309719,1.39871275839302,1.7316353588647662,5.084745762711865
APL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,7.029711842532354,8.709372872431565,1.4970826570555393,47.45762711864407,4.729442014532573,6.961360415789174,1.0040064060389826,5.084745762711865
ASTL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,0.47742053872734397,0.6053599541428604,2.098461579154443,55.932203389830505,0.3693220494157172,0.5197278654032997,1.621209828274258,8.47457627118644
ATLH,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,47.00550429505898,55.001343265929115,4.392066495177536,55.932203389830505,13.51112701933263,20.547869550975808,1.2918452995489795,5.084745762711865
ATRL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,28.782682714417945,31.710106084510752,4.3654290745261015,38.983050847457626,8.137234962592682,12.624528568142628,1.2328402252138115,5.084745762711865
BAFL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,3.5363333973789226,4.622433844020904,4.183372236046059,40.67796610169492,1.1087094323109776,1.5189711337592557,1.3821393971751796,5.084745762711865
BAHL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,12.958860502256854,15.924139921149104,7.8216251228494516,47.45762711864407,2.916247093071371,4.093333152904604,1.8125588215158757,5.084745762711865
BOP,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,3.1226174987876574,3.753630369433327,26.24203546081626,57.6271186440678,0.14906936580851946,0.23043685183277596,1.3505846416364875,5.084745762711865
BWCL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,290.30980736565266,351.9756982267986,64.45811184859019,61.016949152542374,3.838940119339246,7.001236235259992,0.8676281913104769,5.084745762711865
CHCC,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,11.399721859427057,14.4070852372855,3.8481531664806834,47.45762711864407,4.474113335043692,6.436505036722249,1.5254625013120522,5.084745762711865
CNERGY,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,0.10602269605021969,0.1471758106838728,1.4888367996609753,47.45762711864407,0.09338981014187055,0.1441338435378463,1.302505371110268,11.864406779661017
COLG,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,51.19924099491142,57.95869289818406,4.060479294223139,55.932203389830505,5.940973831435393,11.360996058332331,0.4690547860396933,5.084745762711865
DCR,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,0.29065869123332866,0.4403818453384053,1.0990297194284406,54.23728813559322,0.17711477764582273,0.37338340520264607,0.6408211052855077,8.47457627118644
DGKC,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,3.37722638947747,4.182180191009663,2.00521289231555,49.152542372881356,2.471759084927834,3.6975116671569954,1.4890095302130244,5.084745762711865
EFERT,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,7.8441078430814635,9.179304445907475,4.134336559728962,42.3728813559322,2.4822423902608617,3.4060277201719438,1.3189019892306633,5.084745762711865
EPCL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,9.542198077850873,11.638164866923288,30.626482996078526,49.152542372881356,0.352881641711219,0.5098257665425416,1.1321179381200792,5.084745762711865
FABL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,2.0647014577764695,2.5815843174646647,3.091816393739059,47.45762711864407,1.0707233881546272,1.7904804689792384,1.5785106401926103,6.779661016949152
FATIMA,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,7.087609924151373,8.677665378004882,6.486066456917479,42.3728813559322,1.5044432817879363,2.1395315690120142,1.4971909193068895,5.084745762711865
