ticker,window_idx,train_start,train_end,test_start,test_end,mae,rmse,mape,directional_accuracy,naive_mae,naive_rmse,naive_mape,naive_directional_accuracy
ABL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,3.74089975245868,5.1299697226448995,2.4129123748430894,40.67796610169492,3.208614026085805,4.66554163062584,2.0781430965519014,5.084745762711865
ABOT,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,14.386755783781597,20.718935059417667,1.40808564505477,42.3728813559322,10.384762521517478,15.87910599890593,1.0248036453977696,5.084745762711865
AGP,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,3.3535685699859292,4.374615107001395,1.7814217844779514,42.3728813559322,2.5589126328290526,3.722721959922909,1.3616757143251532,5.084745762711865
AICL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,1.5354712948778648,2.2656099086468195,2.5374634253516044,37.28813559322034,1.1893418522204389,1.877300740502087,1.9712451566772422,6.779661016949152
AIRLINK,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,2.9037668466290762,4.395912975319343,2.025321666603315,54.23728813559322,2.4691987118478544,3.879868793982833,1.7287312313044274,5.084745762711865
AKBL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,1.1947433349250591,1.6906312937594457,2.139653226301168,40.67796610169492,0.9584706193309719,1.39871275839302,1.7316353588647662,5.084745762711865
APL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,6.155355701379207,8.374090103545594,1.3106429960877914,55.932203389830505,4.729442014532573,6.961360415789174,1.0040064060389826,5.084745762711865
ATLH,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,17.972290157890356,25.20379219510146,1.737696462147562,52.54237288135594,13.51112701933263,20.547869550975808,1.2918452995489795,5.084745762711865
ATRL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,8.943026070225217,13.246624140142407,1.353804101148926,52.54237288135594,8.137234962592682,12.624528568142628,1.2328402252138115,5.084745762711865
BAFL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,1.4551405402693633,1.866639051620823,1.8011120224736439,38.983050847457626,1.1087094323109776,1.5189711337592557,1.3821393971751796,5.084745762711865
BAHL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,3.43252970180665,4.401236470235735,2.1492010656209297,49.152542372881356,2.916247093071371,4.093333152904604,1.8125588215158757,5.084745762711865
BOP,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,0.22405787445943479,0.315230646135068,2.0028737971703294,42.3728813559322,0.14906936580851946,0.23043685183277596,1.3505846416364875,5.084745762711865
BWCL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,5.952028088577765,8.427903554448257,1.350403272458698,42.3728813559322,3.838940119339246,7.001236235259992,0.8676281913104769,5.084745762711865
