ticker,window_idx,train_start,train_end,test_start,test_end,mae,rmse,mape,directional_accuracy,naive_mae,naive_rmse,naive_mape,naive_directional_accuracy
ABL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,3.677267472288262,5.075710212441151,2.369520932067017,38.983050847457626,3.208614026085805,4.66554163062584,2.0781430965519014,5.084745762711865
ABOT,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,12.736923513462942,19.085416606660097,1.2605118651513063,52.54237288135594,10.384762521517478,15.87910599890593,1.0248036453977696,5.084745762711865
AGP,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,2.884046895647513,3.908400072889932,1.5368112875363482,49.152542372881356,2.5589126328290526,3.722721959922909,1.3616757143251532,5.084745762711865
AICL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,1.4668025856698133,2.121263286499039,2.440882219233594,42.3728813559322,1.1893418522204389,1.877300740502087,1.9712451566772422,6.779661016949152
AIRLINK,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,2.6863526927941734,4.227357948190517,1.8738415695602604,62.71186440677966,2.4691987118478544,3.879868793982833,1.7287312313044274,5.084745762711865
AKBL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,1.1479121875167335,1.635226011730036,2.047151692434265,40.67796610169492,0.9584706193309719,1.39871275839302,1.7316353588647662,5.084745762711865
APL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,6.046589253461288,8.08579246747607,1.285625823399886,50.847457627118644,4.729442014532573,6.961360415789174,1.0040064060389826,5.084745762711865
ASTL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,0.39882985504488483,0.5644237299001545,1.7616523980672496,49.152542372881356,0.3693220494157172,0.5197278654032997,1.621209828274258,8.47457627118644
ATLH,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,15.699805519241,21.78472503202291,1.5148775682858968,47.45762711864407,13.51112701933263,20.547869550975808,1.2918452995489795,5.084745762711865
ATRL,0,2022-07-11,2025-06-02,2025-06-03,2025-08-25,8.559132415438118,13.569526523814675,1.2953816633006539,55.932203389830505,8.137234962592682,12.624528568142628,1.2328402252138115,5.084745762711865
